アドレス,言語,単語,再翻訳,翻訳,一致,類似度_difflib,分類,類似度_ai,類似度_claude
B42,en,雇用契約,雇用契約,Employment Contract,True,100.0%,完全一致,100%,100
B43,en,給与明細,給与明細書,Pay Slip / Payroll Statement,False,88.9%,不一致,72%,100
B44,en,給料,給与,Salary / Wages,False,50.0%,不一致,33%,95
B45,en,残業手当,残業手当,Overtime Allowance / Overtime Pay,True,100.0%,完全一致,100%,100
B46,en,労働時間,勤務時間,Working Hours,False,50.0%,不一致,33%,100
B47,en,控除（する）,控除/控除,Deduction / Deduct,False,36.4%,不一致,28%,100
B48,en,ボーナス,ボーナス,Bonus,True,100.0%,完全一致,100%,100
B49,en,有休,有給休暇,Paid Leave,False,66.7%,不一致,50%,100
B50,en,代休,振替休日・代休,Substitute Holiday / Compensatory Day Off,False,44.4%,不一致,25%,100
B51,en,労働基準法,労働基準法,Labor Standards Act,True,100.0%,完全一致,100%,100
B52,en,労働条件,労働条件,Working Conditions,True,100.0%,完全一致,100%,95
B53,en,税金,税金,Tax(es),True,100.0%,完全一致,100%,95
B54,en,所得税,所得税,Income Tax,True,100.0%,完全一致,100%,100
B55,en,住民税,住民税,Resident Tax,True,100.0%,完全一致,100%,100
B56,en,厚生年金,厚生年金保険,Employees’ Pension Insurance,False,80.0%,不一致,60%,100
B57,en,雇用保険,雇用保険,Employment Insurance,True,100.0%,完全一致,100%,100
B58,en,健康保険,健康保険,Health Insurance,True,100.0%,完全一致,100%,100
B59,en,社会保険,社会保険,Social Insurance,True,100.0%,完全一致,100%,100
B60,en,労災,労働災害,Industrial Accident,False,66.7%,不一致,50%,100
B61,en,労災保険,労災保険,Workers’ Accident Compensation Insurance,True,100.0%,完全一致,100%,100
B62,en,遅刻（する）,遅刻する,Late arrival / Be late,False,80.0%,不一致,80%,100
B63,en,早退（する）,早めに出発する,Leave early,False,46.2%,不一致,30%,90
B64,en,休憩（する）,休憩する,Break / Take a break,False,80.0%,不一致,80%,95
B65,en,残業（する）,残業,Overtime / Work overtime,False,50.0%,不一致,30%,100
B66,en,定時,固定労働時間 / 定時,Fixed working hours / Regular time,False,30.8%,不一致,16%,100
B67,en,規則,規則/ルール,Regulations / Rules,False,50.0%,不一致,30%,100
B68,en,休日,休日,Day off / Holiday,True,100.0%,完全一致,100%,100
B69,en,始業時間,開始時間,Starting Time,False,75.0%,不一致,78%,100
B70,en,終業時間,終了時間,Finishing Time,False,75.0%,不一致,78%,100
B71,en,指導員,インストラクター/スーパーバイザー,Instructor / Supervisor,False,0.0%,不一致,0%,100
B72,en,生活指導員,生活指導スタッフ,Life Guidance Staff,False,61.5%,不一致,44%,100
B73,en,担当者,担当者,Person in Charge,True,100.0%,完全一致,100%,100
B74,en,スイッチ入れるな,スイッチを入れないでください,Do NOT turn on the switch,False,63.6%,不一致,50%,100
B75,en,スイッチ切るな,スイッチをオフにしないでください,Do NOT turn off the switch,False,43.5%,不一致,29%,100
B76,en,使用禁止,使用禁止/使用禁止,Do Not Use / Use Prohibited,False,61.5%,不一致,40%,100
B77,en,5S,5S（整理・整頓・清掃・清潔・しつけ）,5S (Sort–Set in order–Shine–Standardize–Sustain),False,19.0%,不一致,9%,100
B78,en,整理,選別,Sort,False,0.0%,不一致,0%,100
B79,en,整頓,整頓する,Set in Order,False,66.7%,不一致,45%,100
B80,en,清掃,輝き/清潔,Shine / Clean,False,28.6%,不一致,16%,100
B81,en,清潔,清潔さ,Cleanliness,False,80.0%,不一致,60%,100
B82,en,しつけ,維持/規律,Sustain / Discipline,False,0.0%,不一致,0%,100
B83,en,掃除（する）,掃除/清掃,Clean / Cleaning,False,36.4%,不一致,25%,100
B84,en,片づける,片付ける,Tidy up / Put away,False,75.0%,不一致,78%,100
B85,en,捨てる,捨てる,Discard / Throw away,True,100.0%,完全一致,100%,90
B86,en,汚い,汚い,Dirty,True,100.0%,完全一致,100%,100
B87,en,汚れる,汚れる,Get dirty,True,100.0%,完全一致,100%,100
B88,en,分別（する）,分別（廃棄物）,Sort (waste),False,61.5%,不一致,44%,100
B89,en,燃えないごみ,燃えないゴミ,Non-burnable Waste,False,66.7%,不一致,50%,100
B90,en,燃えるごみ,可燃ごみ,Burnable Waste,False,66.7%,不一致,50%,100
B91,en,挟まれる,挟まれる,Get caught (in/between),True,100.0%,完全一致,100%,100
B92,en,巻き込まれる,絡まる/巻き込まれる,Get entangled / Caught in,False,75.0%,不一致,54%,100
B93,en,やけど（する）,火傷（怪我）,Burn (injury) / Get burned,False,30.8%,不一致,18%,100
B94,en,落ちる,秋,Fall,False,0.0%,不一致,0%,100
B95,en,すべる,スリップ,Slip,False,0.0%,不一致,0%,100
B96,en,転ぶ,倒れる,Fall down,False,0.0%,不一致,0%,100
B97,en,濡れる,濡れる,Get wet,True,100.0%,完全一致,100%,100
B98,en,衛生,衛生,Hygiene,True,100.0%,完全一致,100%,100
B99,en,避難（する）,避難,Evacuate / Evacuation,False,50.0%,不一致,30%,100
B100,en,救   車,救急車,Ambulance,False,50.0%,不一致,50%,100
B101,en,災害,災害,Disaster,True,100.0%,完全一致,100%,100
B102,en,地震,地震,Earthquake,True,100.0%,完全一致,100%,100
B103,en,もぐる,潜る / 潜る,Duck under / Crawl under,False,20.0%,不一致,16%,100
B104,en,火気厳禁,火気厳禁,No Open Flames,True,100.0%,完全一致,100%,100
B105,en,開放厳禁,閉じたままにしてください / 開けないでください,Keep Closed / Do Not Open,False,7.1%,不一致,5%,90
B106,en,標識,標識,Sign / Signage,True,100.0%,完全一致,100%,100
B107,en,気をつける,気をつけて,Be careful / Take care,False,80.0%,不一致,80%,100
B108,en,持ち込む,持ち込む,Bring in,True,100.0%,完全一致,100%,100
B109,en,防ぐ,防ぐ,Prevent,True,100.0%,完全一致,100%,100
B110,en,火,火（炎）,Fire (flame),False,40.0%,不一致,22%,100
B111,en,煙,煙,Smoke,True,100.0%,完全一致,100%,100
B112,en,消火,消火/消火活動,Extinguish fire / Firefighting,False,44.4%,不一致,25%,100
B113,en,消火器,消火器,Fire Extinguisher,True,100.0%,完全一致,100%,100
B114,en,非常ベル,警報ベル,Alarm Bell,False,50.0%,不一致,33%,100
B115,en,火災報知機,火災警報,Fire Alarm,False,66.7%,不一致,50%,95
B116,en,逃げる,逃げる,Escape / Run away,True,100.0%,完全一致,100%,100
B117,en,現場,作業現場,Worksite / Site,False,66.7%,不一致,45%,95
B118,en,作業,仕事/タスク,Work / Task,False,0.0%,不一致,0%,90
B119,en,ミーティング,ミーティング,Meeting,True,100.0%,完全一致,100%,100
B120,en,研修（する）,トレーニング/トレーニング,Training / Train,False,0.0%,不一致,0%,100
B121,en,実習（する）,実習・実習,Practical training / Practice,False,36.4%,不一致,28%,100
B122,en,あいさつ,挨拶,Greeting,False,0.0%,不一致,0%,100
B123,en,確認（する）,確認,Check / Confirm,False,50.0%,不一致,30%,100
B124,en,報告（する）,報告,Report,False,50.0%,不一致,30%,100
B125,en,連絡（する）,連絡/通知,Contact / Notify,False,36.4%,不一致,22%,100
B126,en,相談（する）,相談する,Consult,False,80.0%,不一致,80%,100
B127,en,渡す,渡す,Hand over / Give,True,100.0%,完全一致,100%,100
B128,en,申請書,申込書,Application Form,False,66.7%,不一致,50%,95
B129,en,寝坊（する）,睡眠不足,Over sleep,False,0.0%,不一致,0%,70
B130,en,技能,スキル,Skill(s),False,0.0%,不一致,0%,100
B131,en,技能検定試験,技能試験/貿易試験,Skills Test / Trade Test,False,53.3%,不一致,44%,85
B132,en,受検（する）,試験を受ける,Take an exam/test,False,33.3%,不一致,20%,100
B133,en,資格,資格・証明書,Qualification / Certificate,False,50.0%,不一致,30%,100
B134,en,手当,手当,Allowance,True,100.0%,完全一致,100%,100
B135,en,社員,従業員,Employee,False,40.0%,不一致,25%,100
B136,en,部長,ゼネラルマネージャー / 部門マネージャー,General Manager / Department Manager,False,8.7%,不一致,7%,90
B137,en,課長,課長,Section Manager,True,100.0%,完全一致,100%,100
B138,en,更衣室,更衣室・ロッカールーム,Changing Room / Locker Room,False,42.9%,不一致,24%,100
B139,en,台車,手押し車/台車,Hand Cart / Dolly,False,44.4%,不一致,25%,100
B140,en,床,床,Floor,True,100.0%,完全一致,100%,100
B141,en,出口,出口,Exit,True,100.0%,完全一致,100%,100
B142,en,電気,電気/電力,Electricity / Power,False,57.1%,不一致,36%,100
B143,en,警報音,アラーム音,Alarm Sound,False,25.0%,不一致,14%,100
B144,en,コンセント,電源コンセント/ソケット,Power Outlet / Socket,False,58.8%,不一致,37%,100
B145,en,作業場,作業エリア,Work Area,False,50.0%,不一致,33%,100
B146,en,作業台,作業台,Workbench / Work Table,True,100.0%,完全一致,100%,100
B147,en,工事現場,建設現場,Construction Site,False,50.0%,不一致,33%,100
B148,en,職長,フォアマン,Foreman,False,0.0%,不一致,0%,100
B149,en,作業責任者,作業監督者・責任者,Work Supervisor / Responsible Person,False,71.4%,不一致,78%,100
B150,en,禁止,禁止,Prohibited,True,100.0%,完全一致,100%,100
B151,en,表示板,看板・表示板,Signboard / Display Board,False,66.7%,不一致,45%,100
B152,en,禁止事項,禁止事項,Prohibited Matters,True,100.0%,完全一致,100%,100
B153,en,避難訓練,避難訓練,Evacuation Drill,True,100.0%,完全一致,100%,100
B154,en,感電（する）,感電 / 感電する,Electric Shock / Get an electric shock,False,53.3%,不一致,50%,100
B155,en,防止（する）,予防/防止,Prevention / Prevent,False,36.4%,不一致,25%,100
B156,en,予防（する）,予防/防止,Prevention / Prevent,False,36.4%,不一致,25%,100
B157,en,転倒（する）,秋 / 旅行,Fall / Trip,False,0.0%,不一致,0%,20
B158,en,挟まる,詰まる/捕まる,Get jammed / Be caught,False,40.0%,不一致,33%,85
B159,en,足元,足元,Footing / Underfoot,True,100.0%,完全一致,100%,100
B160,en,不安定（な）,不安定,Unstable,False,66.7%,不一致,45%,100
B161,en,後片付け,後片付け/仕事後の掃除,Cleanup / Clean after work,False,53.3%,不一致,32%,100
B162,en,救   箱,救急キット,First-aid Kit,False,20.0%,不一致,14%,95
B163,en,絆創膏,包帯/絆創膏,Bandage / Adhesive bandage,False,66.7%,不一致,45%,100
B164,en,体調,体調,Physical Condition,True,100.0%,完全一致,100%,100
B165,en,血,血,Blood,True,100.0%,完全一致,100%,100
B166,en,熱中症,熱中症,Heatstroke,True,100.0%,完全一致,100%,100
B167,en,吐き気,吐き気,Nausea,True,100.0%,完全一致,100%,100
B168,en,嘔吐（する）,嘔吐,Vomit / Vomiting,False,50.0%,不一致,30%,100
B169,en,足がつる,脚のけいれん,Leg cramp,False,0.0%,不一致,0%,100
B170,en,気分が悪い,気分が悪い,Feel sick,True,100.0%,完全一致,100%,100
B171,en,寝不足,睡眠不足,Lack of sleep,False,57.1%,不一致,40%,100
B172,en,安全ネット,セーフティネット,Safety Net,False,46.2%,不一致,30%,100
B173,en,安全点検,安全検査,Safety Inspection,False,75.0%,不一致,78%,100
B174,en,KY活動（危険予知活動）,KY活動（危険予測）,KY Activity (Hazard Prediction),False,81.8%,不一致,96%,100
B175,en,危険,危険,Danger / Hazard,True,100.0%,完全一致,100%,100
B176,en,ぶつかる,ぶつかる/衝突する,Bump / Collide,False,61.5%,不一致,40%,100
B177,en,当たる,ヒット/ストライク,Hit / Strike,False,0.0%,不一致,0%,60
B178,en,下敷きになる,押さえつけられる,Be pinned under,False,14.3%,不一致,7%,100
B179,en,打つ,ヒット/ストライク,Hit / Strike,False,0.0%,不一致,0%,60
B180,en,バランスを崩す,バランスを失う,Lose balance,False,71.4%,不一致,76%,100
B181,en,倒れる,倒れる/崩壊する,Topple / Collapse,False,54.5%,不一致,33%,100
B182,en,転落（する）,高所からの落下,Fall from height,False,15.4%,不一致,8%,100
B183,en,指差呼称,指差しと呼びかけ,Pointing and Calling,False,50.0%,不一致,33%,100
B184,en,ヒヤリハット,ニアミス,Near-miss,False,0.0%,不一致,0%,100
B185,en,原因,原因,Cause,True,100.0%,完全一致,100%,100
B186,en,対策,対策,Countermeasure,True,100.0%,完全一致,100%,100
B187,en,落下（する）,落下,Drop / Fall,False,50.0%,不一致,30%,100
B188,en,墜落（する）,落下（高所から）/ 急降下,Fall (from height) / Plunge,False,31.6%,不一致,20%,100
B189,en,確認（する）,確認/チェック,Confirm / Check,False,30.8%,不一致,18%,100
B190,en,作業着,作業服,Workwear,False,66.7%,不一致,50%,100
B191,en,作業服,作業服,Work clothes,True,100.0%,完全一致,100%,100
B192,en,作業靴,安全靴・作業靴,Safety shoes / Work shoes,False,60.0%,不一致,38%,100
B193,en,手袋,手袋,Gloves,True,100.0%,完全一致,100%,100
B194,en,帽子,キャップ/帽子,Cap / Hat,False,44.4%,不一致,25%,100
B195,en,保護帽（ヘルメット）,安全ヘルメット,Safety Helmet,False,58.8%,不一致,41%,100
B196,en,保護具,PPE（個人用保護具）,PPE (Personal Protective Equipment),False,42.9%,不一致,24%,100
B197,en,あごひも,あごストラップ,Chin strap,False,36.4%,不一致,22%,100
B198,en,ボタン,ボタン,Button,True,100.0%,完全一致,100%,100
B199,en,ポケット,ポケット,Pocket,True,100.0%,完全一致,100%,100
B200,en,保護メガネ,安全メガネ,Safety Glasses,False,60.0%,不一致,42%,100
B201,en,マスク,マスク/呼吸器（文脈）,Mask / Respirator (context),False,42.9%,不一致,24%,100
B202,en,栓,プラグ/ストッパー,Plug / Stopper,False,0.0%,不一致,0%,85
B203,en,安全靴,安全靴,Safety Shoes,True,100.0%,完全一致,100%,100
B204,en,墜落制止用器具（安全帯）,墜落制止用器具（安全ベルト・ハーネス）,Fall-Arrest Equipment (Safety Belt/Harness),False,71.0%,不一致,76%,100
B205,en,業務,業務 / 義務 / タスク,Business / Duty / Task,False,26.7%,不一致,13%,90
B206,en,時間厳守,時間厳守,Punctuality / Be on time,True,100.0%,完全一致,100%,100
B207,en,予定,スケジュール/計画,Schedule / Plan,False,0.0%,不一致,0%,100
B208,en,日付,日付,Date,True,100.0%,完全一致,100%,100
B209,en,準備（する）,準備,Preparation / Prepare,False,50.0%,不一致,30%,100
B210,en,会議,会議/カンファレンス,Meeting / Conference,False,33.3%,不一致,18%,100
B211,en,朝礼,朝礼／ツールボックスミーティング,Morning assembly / Toolbox meeting,False,22.2%,不一致,11%,100
B212,en,報告書,報告,Report,False,80.0%,不一致,60%,100
B213,en,マニュアル,マニュアル,Manual,True,100.0%,完全一致,100%,100
B214,en,作業手順書,作業手順書,Work Procedure Manual,True,100.0%,完全一致,100%,100
B215,en,調子,状態/ステータス,Condition / Status,False,0.0%,不一致,0%,100
B216,en,立入禁止,立入り禁止,No Entry,False,88.9%,不一致,96%,100
B217,en,禁煙,禁煙,No Smoking,True,100.0%,完全一致,100%,100
B218,en,火気厳禁,火気厳禁,No Open Flames,True,100.0%,完全一致,100%,100
B219,en,駐車禁止,駐車禁止,No Parking,True,100.0%,完全一致,100%,100
B220,en,足もと注意,足もと注意,Watch your step,True,100.0%,完全一致,100%,100
B221,en,開口部注意,開口部 - 注意,Openings—Caution,False,76.9%,不一致,94%,100
B222,en,感電注意,電気の危険 - 注意,Electrical Hazard—Caution,False,42.9%,不一致,30%,100
B223,en,堕落注意,落下の危険 - 注意,Fall Hazard—Caution,False,42.9%,不一致,30%,100
B224,en,頭上注意,頭上危険 - 注意,Overhead Hazard—Caution,False,61.5%,不一致,50%,100
B225,en,警報設備,警報システム,Alarm System,False,40.0%,不一致,25%,100
B226,en,消火器,消火器,Fire Extinguisher,True,100.0%,完全一致,100%,100
B227,en,AED設置場所,AEDの場所,AED Location,False,76.9%,不一致,78%,100
B228,en,保護帽着用,安全ヘルメットを着用してください,Wear Safety Helmet,False,19.0%,不一致,10%,100
B229,en,安全帯使用,安全ハーネスを使用する,Use Safety Harness,False,50.0%,不一致,33%,100
B230,en,昇降階段,アクセス階段,Access Stairs,False,40.0%,不一致,25%,100
B231,en,休憩所,休憩所,Rest Area,True,100.0%,完全一致,100%,100
B232,en,最大積載荷重,最大積載量,Maximum Load Capacity,False,72.7%,不一致,77%,100
B233,en,喫煙所,喫煙エリア,Smoking Area,False,50.0%,不一致,33%,100
B234,en,整理整頓,並べ替えと整頓,Sort & Set in Order,False,36.4%,不一致,25%,100
B235,en,安全通路,安全な通路,Safe Passage / Aisle,False,88.9%,不一致,96%,100
B236,en,三連クランプ,トリプルクランプ,Triple Clamp,False,57.1%,不一致,44%,100
B237,en,"ベルトコンベア
（ベルコン）",ベルトコンベア,Belt Conveyor,False,66.7%,不一致,45%,100
B238,en,かけや,木槌（かけや）,Wooden Mallet (Kakeya),False,60.0%,不一致,38%,100
B239,en,ランマ,ハンドタンピングランマー,Hand Tamping Rammer,False,40.0%,不一致,22%,100
B240,en,自在クランプ,スイベルクランプ,Swivel Clamp,False,57.1%,不一致,40%,100
B241,en,キャッチクランプ,キャッチクランプ,Catch Clamp,True,100.0%,完全一致,100%,100
B242,en,吊り上げ用クランプ,リフティングクランプ,Lifting Clamp,False,42.1%,不一致,28%,100
B243,en,直交クランプ,直角クランプ,Right-angle Clamp,False,83.3%,不一致,94%,100
B244,en,フック,フック,Hook,True,100.0%,完全一致,100%,100
B245,en,ストレートシャックル,ストレートシャックル,Straight Shackle,True,100.0%,完全一致,100%,100
B246,en,滑車,ブロック/プーリー,Block / Pulley,False,0.0%,不一致,0%,100
B247,en,クレーン,クレーン,Crane,True,100.0%,完全一致,100%,100
B248,en,移動式クレーン,移動式クレーン,Mobile Crane,True,100.0%,完全一致,100%,100
B249,en,介しゃくロープ,タグラインロープ,Tag line rope,False,40.0%,不一致,25%,100
B250,en,昇降階段,アクセス階段,Access Stairs,False,40.0%,不一致,25%,100
B251,en,筋かい止めピン,ブレースピン,Brace Pin,False,30.8%,不一致,18%,100
B252,en,脚柱ジョイント,ポストジョイント,Post Joint,False,66.7%,不一致,76%,100
B253,en,連結ピン,接続ピン,Connection Pin,False,50.0%,不一致,33%,100
B254,en,ジョイント金具,ジョイントフィッティング,Joint Fitting,False,52.6%,不一致,41%,100
B255,en,レバーブロック,レバーホイスト（レバーブロック）,Lever Hoist (Lever Block),False,60.9%,不一致,39%,100
B256,en,電動のこ（丸のこ）,丸鋸（電動）,Circular Saw (Power),False,40.0%,不一致,78%,100
B257,en,モンキースパナ,モンキーレンチ,Adjustable Wrench,False,57.1%,不一致,44%,100
B258,en,親綱支柱,ライフラインポスト,Lifeline Post,False,0.0%,不一致,0%,100
B259,en,ブラケット,ブラケット,Bracket,True,100.0%,完全一致,100%,100
B260,en,梯子,ラダー,Ladder,False,0.0%,不一致,0%,100
B261,en,親綱,ライフライン,Lifeline,False,0.0%,不一致,0%,100
B262,en,建枠（ビティ）,フレーム足場（けんわく）,Frame Scaffold (Kenwaku),False,21.1%,不一致,11%,100
B263,en,メッシュシート,メッシュシート（ネット）,Mesh Sheet (Net),False,73.7%,不一致,52%,100
B264,en,防音パネル,防音パネル,Soundproof Panel,True,100.0%,完全一致,100%,100
B265,en,朝顔材,キャノピーブラケット（デブリネットサポート）,Canopy Bracket (Debris Net Support),False,0.0%,不一致,0%,100
B266,en,架空線,架空線,Overhead Line,True,100.0%,完全一致,100%,100
B267,en,幅木（仮設足場）,つま先板（足場）,Toe Board (Scaffold),False,50.0%,不一致,33%,100
B268,en,単管,鋼管（単管）,Steel Pipe (Single Pipe),False,50.0%,不一致,30%,100
B269,en,脚立,踏み台,Step Ladder,False,0.0%,不一致,0%,100
B270,en,作業半径,作業半径,Working Radius,True,100.0%,完全一致,100%,100
B271,en,仮ボルト,仮ボルト,Temporary Bolt,True,100.0%,完全一致,100%,100
B272,en,手直し,修正/タッチアップ,Rework / Touch-up,False,0.0%,不一致,0%,100
B273,en,面一,フラッシュ（表面レベル）,Flush (Surface level),False,14.3%,不一致,7%,100
B274,en,点検事項,検査項目,Inspection Items,False,50.0%,不一致,33%,100
B275,en,積載荷重,耐荷重,Load Capacity,False,57.1%,不一致,40%,100
B276,en,すき間,ギャップ,Gap,False,0.0%,不一致,0%,100
B277,en,通りを見る,アライメントを確認する,Check alignment,False,25.0%,不一致,14%,100
B278,en,組立,組み立て/設置,Assembly / Erection,False,44.4%,不一致,28%,100
B279,en,地組,地上集合,Ground Assembly,False,33.3%,不一致,20%,100
B280,en,天端,最上層 / 上面,Top Level / Top Surface,False,0.0%,不一致,0%,100
B281,en,玉掛け,スリング/リギング,Slinging / Rigging,False,0.0%,不一致,0%,100
B282,en,合図,信号,Signal,False,0.0%,不一致,0%,100
B283,en,定格荷重,定格荷重,Rated Load,True,100.0%,完全一致,100%,100
B284,en,たち,垂直性,Plumb / Verticality,False,0.0%,不一致,0%,100
B285,en,職長,フォアマン,Foreman,False,0.0%,不一致,0%,100
B286,en,安全カバー,安全カバー/ガード,Safety Cover / Guard,False,71.4%,不一致,50%,95
B287,en,安全帯,安全ベルト/ハーネス,Safety Belt / Harness,False,30.8%,不一致,18%,100
B288,en,インサート,入れる,Insert,False,0.0%,不一致,0%,90
B289,en,スペーサ,スペーサー,Spacer,False,88.9%,不一致,72%,100
B290,en,鉄筋,鉄筋,Rebar / Reinforcing Bar,True,100.0%,完全一致,100%,100
B291,en,電工ドラム（ドラム）,ケーブルリール/延長リール,Cable Reel / Extension Reel,False,0.0%,不一致,0%,100
B292,en,電動丸のこ（電のこ）,丸鋸（電動）,Circular Saw (Power),False,37.5%,不一致,78%,100
B293,en,パッキン,パッキン/ガスケット,Packing / Gasket,False,57.1%,不一致,36%,100
B294,en,小バール,小型バール,Small Pry Bar,False,88.9%,不一致,96%,100
B295,en,大バール,大型バール,Large Pry Bar,False,88.9%,不一致,96%,100
B296,en,化粧合板,装飾合板,Decorative Plywood,False,50.0%,不一致,33%,100
B297,en,普通合板,標準合板,Standard Plywood,False,50.0%,不一致,33%,100
B298,en,スタイロフォーム,押出ポリスチレンフォーム,Extruded Polystyrene Foam,False,50.0%,不一致,33%,100
B299,en,面木,面取りストリップ,Chamfer Strip,False,20.0%,不一致,11%,100
B300,en,バイブレーター,コンクリートバイブレーター,Concrete Vibrator,False,70.0%,不一致,48%,100
B301,en,剥離剤,離型剤,Release Agent,False,66.7%,不一致,50%,100
B302,en,けこみ板,ライザーボード,Riser Board,False,0.0%,不一致,0%,100
B303,en,目地棒,ジョイントロッド/ダボ,Joint Rod / Dowel,False,0.0%,不一致,0%,100
B304,en,コンクリート,コンクリート,Concrete,True,100.0%,完全一致,100%,100
B305,en,コンベックス,巻尺（凸型）,Tape Measure (Convex),False,0.0%,不一致,0%,100
B306,en,作業用手袋,作業用手袋,Work Gloves,True,100.0%,完全一致,100%,100
B307,en,差金,カーペンターズスクエア,Carpenter’s Square,False,0.0%,不一致,0%,100
B308,en,水平器,レベル,Level,False,0.0%,不一致,0%,100
B309,en,墨さし,インクマーカー/インクブラシ,Ink Marker / Ink Brush,False,0.0%,不一致,0%,100
B310,en,墨つぼ,チョークライン / インク壺,Chalk Line / Inkpot,False,0.0%,不一致,0%,100
B311,en,"丸セパレーター
（丸セパ）",丸型セパレーター（スペーサー）,Round Separator (Spacer),False,64.3%,不一致,78%,100
B312,en,天端釘,レベリングネイル/トップレベルネイル,Leveling Nail / Top-level Nail,False,0.0%,不一致,0%,100
B313,en,ケレン,チッピング/スクレーピング（ケレン）,Chipping / Scraping (Keren),False,28.6%,不一致,15%,100
B314,en,型枠支保工,型枠サポート,Formwork Support,False,36.4%,不一致,22%,100
B315,en,"基礎型枠
（メタルフォーム）",基礎型枠（金属型枠）,Foundation Form (Metal Form),False,50.0%,不一致,37%,100
B316,en,釘仕舞い,ネイルフィニッシュ/ネイルセット,Nail Finishing / Nail Set,False,0.0%,不一致,0%,100
B317,en,スラブ天端,スラブトップレベル,Slab Top Level,False,42.9%,不一致,27%,100
B318,en,高さ（タッパ）,身長,Height,False,0.0%,不一致,0%,60
B319,en,建込み,設定/インストール,Setting / Installation,False,0.0%,不一致,0%,100
B320,en,通り,ライン/アライメント,Line / Alignment,False,0.0%,不一致,0%,100
B321,en,蹴上げ,ライザー（階段）,Riser (Stair),False,0.0%,不一致,0%,100
B322,en,蹴込み,トレッドノーズ/キックインボード,Tread Nose / Kick-in board,False,0.0%,不一致,0%,100
B323,en,工具の手入れ,ツールのメンテナンス,Tool Maintenance,False,12.5%,不一致,7%,100
B324,en,下げ振り,プランボブ,Plumb Bob,False,0.0%,不一致,0%,100
B325,en,地墨,ベンチマークライン/グラウンドマーク,Benchmark Line / Ground Mark,False,0.0%,不一致,0%,100
B326,en,捨てコンクリート,目くらましのコンクリート,Blinding Concrete,False,60.0%,不一致,42%,100
