言語,Page,番号,単語,翻訳
カンボジア語,13,22,寝不足,មគ្ងមិនប្គ្ប់
カンボジア語,13,23,安全ネット,សាំណាញ់សុវតេិភាព
カンボジア語,13,24,安全点検,ប្តួតពិនិតយសុវតេិភាព
カンボジア語,14,1,KY活動（危険予知活動）,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័
カンボジア語,14,2,危険,គ្រោះថ្នា ក់
カンボジア語,14,3,ぶつかる,ប ោះទង្គិច
カンボジア語,14,4,当たる,្រវូ នឹង្
カンボジア語,14,5,下敷きになる,កិនសង្ារ់
カンボジア語,14,6,打つ,ដំ
カンボジア語,14,7,バランスを崩す,បារ់បង្់រ លយភាព
カンボジア語,14,8,倒れる,ដួលរលំ
カンボジア語,14,9,転落（する）,(ការ)រេិលធ្លា ក់
カンボジア語,14,10,指差呼称,ចង្អ ុលគៅគ្ម ោះ
カンボジア語,14,11,ヒヤリハット,គសទើបរនឹង្មនគ្រោះថ្នា ក់
カンボジア語,14,12,原因,ម្ូលគេរ
カンボジア語,14,13,対策,វធ្លិ នការ
カンボジア語,14,14,落下（する）,(ការ)ធ្លា ក់
カンボジア語,14,15,墜落（する）,(ការ)ធ្លា កច់ ោះ
カンボジア語,14,16,確認（する）,(ការ)បញ្ជា ក់
カンボジア語,15,1,作業着,សម្លៀកបំពាក់ម្វើការ
カンボジア語,15,,,
カンボジア語,15,2,作業服,សម្លៀកបំពាក់ការងារ
カンボジア語,15,3,作業靴,ស្សែកម ើងការងារ
カンボジア語,15,4,手袋,មរោ្ដៃ
カンボジア語,15,,,
カンボジア語,15,5,帽子,្ួក
カンボジア語,15,6,保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់)
カンボジア語,15,,,
カンボジア語,15,7,保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់
カンボジア語,15,8,あごひも,ស្សែរកវ៉ាត់ចងាា រ
カンボジア語,15,9,ボタン,មេវ
カンボジア語,15,10,ポケット,មោម ៉ៅ
カンボジア語,15,,,
カンボジア語,15,,,
カンボジア語,15,11,保護メガネ,ស្វនតាការពារ
カンボジア語,15,12,マスク,ម៉ៅ ស់
カンボジア語,15,13,耳栓,ឆ្ន ុករតមចៀក
カンボジア語,15,14,安全靴,ស្សែកម ើងសុវតថភាិ ព
カンボジア語,15,15,墜落制止用器具（安全 帯）,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ាត់ សុវតថភាិ ព)
カンボジア語,16,16,業務,កិចចការ
カンボジア語,16,17,時間厳守,របកាន់មពលមវលាខាា ប់សជ នួ
カンボジア語,16,18,予定,គមរមង
カンボジア語,16,19,日付,កាលបរមិចេទ
カンボジア語,16,20,準備（する）,(ការ)មរតៀ្
カンボジア語,16,21,会議,ការរប ុំ
カンボジア語,16,22,朝礼,ការរប ុំមពលរពឹក
カンボジア語,16,23,報告書,មសចកតរាី យការណ៏
カンボジア語,16,24,マニュアル,មសៀវមៅស្ណនំ
カンボジア語,16,25,作業手順書,ឯកោរនីតិវ្ិ ីការងារ
カンボジア語,16,26,調子,ចលនកន ុងសល នួ
カンボジア語,17,1,立入禁止,ហាមចូល
カンボジア語,17,2,禁煙,ហាមជក់បារី
カンボジア語,17,3,火気厳禁,ហាមបង្កា ត់ភ្លើង
カンボジア語,17,4,駐車禁止,ហាមចត
カンボジア語,17,5,足もと注意,ប្បយ័តនប ៉ះភជើង
カンボジア語,17,6,開口部注意,ប្បយ័តនផ្ននកភបើកចំហ
カンボジア語,17,7,感電注意,ប្បយ័តនឆក់
カンボジア語,17,8,堕落注意,ប្បយ័តនធ្លល ក់
カンボジア語,17,9,頭上注意,ប្បយ័តនភលើកាល
カンボジア語,17,10,警報設備,កផ្លលងចុចប្បកាសអាសលន
カンボジア語,18,11,消火器,បំពង់​ពលលត់​អគ្គិ្័យ
カンボジア語,18,12,AED設置場所,ទីតងំ បំពាកA់ ED
カンボジア語,18,13,保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់)
カンボジア語,18,14,安全帯使用,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព
カンボジア語,18,15,昇降階段,ជភ្តើរភ ើងចុ៉ះ
カンボジア語,18,16,休憩所,កផ្លលងសប្ាក
カンボジア語,18,17,最大積載荷重,សមតថភាពនទកុ អតិបរា
カンボジア語,18,18,喫煙所,កផ្លលងជក់បារី
カンボジア語,18,19,整理整頓,ភរៀបចំ សណ្តត ប់ធ្លន ប់
カンボジア語,18,20,安全通路,នល វូ សុវតថិភាព
カンボジア語,19,1,三連クランプ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645)
カンボジア語,19,2,ベルトコンベア （ベルコン）,ែខ(cid:717)បន(cid:635)ះយន(cid:625)
カンボジア語,19,3,かけや,ញញ(cid:819)រេឈ(cid:822)
カンボジア語,19,4,ランマ,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី
カンボジア語,19,5,自在クランプ,ដង(cid:544)(cid:814)ំេសរ(cid:801)
カンボジア語,19,6,キャッチクランプ,ដង(cid:544)(cid:814)ំ(cid:564)ប់
カンボジア語,19,7,吊り上げ用クランプ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ
カンボジア語,19,8,直交クランプ,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់
カンボジア語,19,9,フック,ទំពក់
カンボジア語,19,10,ストレートシャックル,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់
カンボジア語,20,11,滑車,ឧបករណ៏រ(cid:843)ក
カンボジア語,20,12,クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ច
カンボジア語,20,13,移動式クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត
カンボジア語,20,14,介しゃくロープ,ែខ(cid:717)ពួរជំនួយ
カンボジア語,20,15,昇降階段,(cid:535)ំជេណ(cid:625)(cid:822)រេឡ(cid:822)ងចុះ
カンボジア語,20,16,筋かい止めピン,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ
カンボジア語,20,17,脚柱ジョイント,តំណេជ(cid:822)ង
カンボジア語,20,18,連結ピン,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់
カンボジア語,20,19,ジョイント金具,ែដកតំណ
カンボジア語,20,20,レバーブロック,ប(cid:694)(cid:814)ក(cid:676)នដង
カンボジア語,20,21,電動のこ（丸のこ）,(cid:676)៉សុីនរ(cid:622)រ
カンボジア語,21,22,モンキースパナ,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង
カンボジア語,21,23,親綱支柱,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព
カンボジア語,21,24,ブラケット,ែកង(cid:688)ទ
カンボジア語,21,25,梯子,ជេណ(cid:625)(cid:822)រ(cid:598)ក់
カンボジア語,22,1,親綱,ខ្សែពួរមេ
カンボジア語,22,2,建枠（ビティ）,គំរបឈ្នន ន់(ប ៊ី្ី)
カンボジア語,22,3,メッシュシート,ក្កណាត់សំណាញ់
カンボジア語,22,4,防音パネル,ផ្ា ងំ ប់សមេលង
カンボジア語,22,5,朝顔材,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ
カンボジア語,22,6,架空線,ខ្សែមលើ
カンボジア語,22,7,幅木（仮設足場）,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន)
カンボジア語,22,8,単管,បំពង់ឯក
カンボジア語,22,9,脚立,ជមណតើរមកាង
カンボジア語,23,10,作業半径,កាក្ំ បតិបតតិការងារ
カンボジア語,23,11,仮ボルト,បូ ុ ងបមណាត ះោសនន
カンボジア語,23,12,手直し,ខ្កម ើងវញិ
カンボジア語,23,13,面一,មោយនផាទងំ ពីរមសមើរន
カンボジア語,23,14,点検事項,ក្បការក្តួតពិនិតយ
カンボジア語,23,15,積載荷重,េងន់ចំណុ ះដ្ឋក់
カンボジア語,23,16,すき間,ចមន្ទល ះ
カンボジア語,23,17,通りを見る,ពិនិតយផល វូ ថ្នល់
カンボジア語,23,18,組立,តមេលើង
カンボジア語,23,19,地組,ការផ្ គំេូលដ្ឋា ន
カンボジア語,24,20,天端,ខ្ផនកខ្ទងមលើននសំណង់
カンボジア語,24,21,玉掛け,ចំណងTamagake
カンボジア語,24,22,合図,សញ្ញា
カンボジア語,24,23,定格荷重,េងន់តេខ្ទន ត
カンボジア語,24,24,たち,បញ្ឈរ
カンボジア語,24,25,職長,មេការ
カンボジア語,25,1,安全カバー,គម្របសុវត្ថិភាព
カンボジア語,25,2,安全帯,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព
カンボジア語,25,3,インサート,បញ្ច លូ
カンボジア語,25,4,スペーサ,ឧបករណ៏រកាចស្ែ ោះ
カンボジア語,25,5,鉄筋,សរសសផ្ ក
カンボジア語,25,6,電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ )
カンボジア語,25,7,電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ )
カンボジア語,25,8,パッキン,ថ្នា បំ ិទ ិត្
カンボジア語,25,9,小バール,ផ្ ករស់ត្ូច
カンボジア語,25,10,大バール,ផ្ ករស់ធំ
カンボジア語,26,11,化粧合板,កាា បនទោះត្ុបផ្ត្ង
カンボジア語,26,12,普通合板,កាា បនាោះធរមតា
カンボジア語,26,13,スタイロフォーム,បនទោះសនា
カンボジア語,26,14,面木,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ
カンボジア語,26,15,バイブレーター,ម៉ា សុ៊ីនរំញ៉ារ័
カンボジア語,26,16,剥離剤,ថ្នា សំ ំណក
カンボジア語,26,17,けこみ板,កាា បញ្ឈរ
カンボジア語,26,18,目地棒,ំបូងោក់កាច់ម្ ងុ
カンボジア語,26,19,コンクリート,សបត្ុង
カンボジア語,26,20,コンベックス,ឧបករណ៏វាស់ ផ្វង
カンボジア語,27,21,作業用手袋,សម្នរស ការង្ករ
カンボジア語,27,22,差金,ផ្ កបញ្ច លូ
カンボジア語,27,23,水平器,ផ្រ៉ាម្ត្សទង់
カンボジア語,27,24,墨さし,បិចសធវើព៊ីឬសែ៊ី
カンボジア語,27,25,墨つぼ,ប្ទ ត្់ ផ្ខ្ែ
カンボジア語,28,1,丸セパレーター （丸セパ）,ឧបករណ៏បំ បបករបូ រាងមូល (ម៉ា រ ៉ុសេប៉ា )
カンボジア語,28,2,天端釘,បែកសោលបនែកខាងសលើនៃ េំណង់
カンボジア語,28,3,ケレン,ការេំសលៀង
カンボジア語,28,4,型枠支保工,េ ៉ុមេរមប់ចាក់សបត៉ុង
カンボジア語,28,5,基礎型枠 （メタルフォーム）,េ ៉ុមរ្រោះ(សមតាលហ្វម)
カンボジア語,28,6,釘仕舞い,េំរលួ បែកសោល
カンボジア語,28,7,スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់
カンボジア語,28,8,高さ（タッパ）,កំពេ់
カンボジア語,28,9,建込み,សលើកយួរសហ្ើយោក់
カンボジア語,29,10,通り,នល វូ លំ
カンボジア語,29,11,蹴上げ,កំពេ់ជំហាៃកាជំ សណាើរ
カンボジア語,29,12,蹴込み,បនែកខាងកន គងសៅកាំជសណាើរ
カンボジア語,29,13,工具の手入れ,សរៀបេំោតឧបករណ៏
カンボジア語,29,14,下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់
カンボジア語,29,15,地墨,សាែ មេញ្ជា កំណត់រីតាងំ
カンボジア語,29,16,捨てコンクリート,ចាក់សបត៉ុងសេាើង(សបត៉ុង សចាល)
カンボジア語,29,17,はね出し,ការសចញកាា ពបី សគោ ល
カンボジア語,29,18,はらみ,ភ្ជពសប៉ា ងច៉ុោះ
カンボジア語,30,19,前面,ននៃខាងម៉ុខ
カンボジア語,30,20,養生,រ៉ុុំព័រធ
カンボジア語,30,21,レベル,កំពេ់
カンボジア語,30,22,割付,បបងបចក
カンボジア語,30,23,埋め込み金物,ឧបករណ៏ បែកបងោប់
カンボジア語,30,24,解体する（バラス）,ការបំ បបក
カンボジア語,30,25,かぶり寸法,ករមេ់រ្ប
カンボジア語,31,1,異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ
カンボジア語,31,2,結束線,ដសែរតឹ ចំណរ
カンボジア語,31,3,結束工具,ឧបករណ៏រតឹ ចរ
カンボジア語,31,4,鉄筋切断機,ម េុ៊ីនកាត់េរសេដែក
カンボジア語,31,5,鉄筋曲げ加工機,ម េុ៊ីនពត់េរសេដែក
カンボジア語,31,6,フック,េំពក់
カンボジア語,31,7,保護帽（ヘルメット）,ម្ួកការពារ
カンボジア語,31,8,アンカー,ដែកយុថាា
カンボジア語,31,9,加工場,កដនលរដកសនែ
カンボジア語,31,10,スペーサ―,ឧបករណ៏រកាចប្ល ះ
カンボジア語,32,11,ドーナツ,ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់)
カンボジア語,32,12,加工配筋図,បលរ់ោក់េសេដែកដកសនែ
カンボジア語,32,13,配筋詳細図,បលរ់លំអិតោក់េរសេដែក
カンボジア語,32,14,開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ
カンボジア語,32,15,幅止め筋,េរសេដែកពង្រឹរ
カンボジア語,32,16,差筋,េរសេដែកចប្ល ះេំណរ់
カンボジア語,32,17,柱主筋,េរសេដែកេេរបម្
カンボジア語,32,18,柱配筋,ោក់េរសេដែកកន គរេេរ
カンボジア語,32,19,スラブ筋,េរសេង្កឡា
カンボジア語,32,20,ベース筋,េរសេង្គឹះ
カンボジア語,33,21,帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ
カンボジア語,33,22,下端筋,េរសេខារបង្កាម្ខារចុរ
カンボジア語,33,23,上端筋,េរសេខារចុរខារបលើ
カンボジア語,33,24,主筋,េរសេបម្
カンボジア語,33,25,あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ
カンボジア語,34,1,はかま筋,សរសសដែកលកខណ:កន្រ្តក
カンボジア語,34,2,縦筋,សរសសដែកបញ្ឈរ
カンボジア語,34,3,下筋,សរសសដែកខាងឡន្កាម
カンボジア語,34,4,横筋,សរសសដែកឡផតក
カンボジア語,34,5,腹筋,សរសសដែកដាក់ទទឹង
カンボジア語,34,6,配力筋,សរសសដែកដាក់ឈរន្តង់
カンボジア語,34,7,上筋,សរសសដែកខាងឡលើ
カンボジア語,34,8,スパイラル筋,សរសសដែកលកខណ:រងវង់
カンボジア語,34,9,鉄筋径,វជិ ាមាន្តសរសសដែក
カンボジア語,34,10,かぶり厚さ,កមាល ស់ន្គប
カンボジア語,35,11,角度,មុុំ
カンボジア語,35,12,シングル,ឯក
カンボジア語,35,13,ダブル,ឡទវ
カンボジア語,35,14,千鳥結束,ចុំណងចឡ្ល ោះគ្នា
カンボジア語,35,15,切断寸法,ទុំហុំ ដផាកកាត់
カンボジア語,35,16,加工寸法,ទុំហុំ ដកសនា
カンボジア語,35,17,重ね継手,តុំណជា្់គ្នា
カンボジア語,35,18,圧接継手,តុំណគ្នប
カンボジア語,35,19,開口部,ដផាកឡបើកចុំហរ
カンボジア語,35,20,溶接金網,សុំណាញ់ ដែកផា
カンボジア語,36,21,搬出,ការែឹកឡចញ
カンボジア語,36,22,搬入,ការែឹកចូល
カンボジア語,36,23,基礎,ន្គឹោះ
カンボジア語,36,24,機械式継手,តុំណឡដាយមា៉ា សុី្
カンボジア語,36,25,配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក
カンボジア語,37,1,トラクタ,ត្រាក់ទរ័
カンボジア語,37,2,ブルドーザ,គត្រេឿងចត្រករុញែី
カンボジア語,37,3,トラクタショベル,ត្រាក់ទ័រឈូសែី
カンボジア語,37,4,ホイルローダ,រ ឡូ ូ កិនែី
カンボジア語,37,5,ダンプトラック,ត្រាក់ទ័រែឹកែី
カンボジア語,37,6,油圧ショベル,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក
カンボジア語,37,7,バックホウ,ត្រាក់ទរកា័ យែី(គអសស្កា )
カンボジア語,37,8,ローディングショベル,គត្រេឿងចត្រកចូកែី
カンボジア語,37,9,ローラ,រ ឡូ ូ កិន
カンボジア語,38,10,バケット,ដប៉ាលចូក
カンボジア語,38,11,ブーム,ែងសនទ ចូ
カンボジア語,38,12,アーム,ដែគលើក
カンボジア語,38,13,ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី
カンボジア語,38,14,タイヤ,សំបកកង់
カンボジア語,38,15,クローラ,ត្រចវាក់
カンボジア語,38,16,キー（鍵）,គស្ក
カンボジア語,38,17,作業装置 （アタッチメント）,ឧបករណ៏ការងារ (attachment)
カンボジア語,38,18,エンジン,ម៉ា សុីន
