言語,Page,No,日本語,翻訳
カンボジア語,13,14,絆創膏,បនទោបះ ិទមលើសា ម្នរបួស
カンボジア語,13,15,体調,សេ្នភពា សុខភពា ខលនួ
カンボジア語,13,16,血,ឈមា
カンボジア語,13,17,熱中症,"ករា ដួលសនលបម់ ោយសរ្ន
កមតៅ"
カンボジア語,13,18,吐き気,េង់កអតួ
カンボジア語,13,19,嘔吐（する）,(ករា )កអតួ
カンボジア語,13,20,足がつる,សាំយ ុងមជើង
カンボジア語,13,21,気分が悪い,មិនបស្ ួលខលនួ
カンボジア語,13,22,寝不足,មគ្ងមិនបគ្ ប្ ់
カンボジア語,13,23,安全ネット,សាំណញា ់សុវតេិភពា
カンボジア語,13,24,安全点検,បត្ ួតពិនិតយសុវតេិភពា
カンボジア語,14,1,KY活動（危険予知活動）,"សកមមភ្ ពា KY
(សកមមភ្ ពា ពាករណ៏ហា
នីភយ)័"
カンボジア語,14,2,危険,គ្រោះថា ក្ន់
カンボジア語,14,3,ぶつかる,ប ោទះ ងគិច្
カンボジア語,14,4,当たる,្រវូ នឹង្
カンボジア語,14,5,下敷きになる,កិនសងារ្ ់
カンボジア語,14,6,打つ,ដំ
カンボジア語,14,7,バランスを崩す,បរា ់បង់រ្ លយភពា
カンボジア語,14,8,倒れる,ដួលរលំ
カンボジア語,14,9,転落（する）,(ករា )រេិលធា ក្ល់
カンボジア語,14,10,指差呼称,ចងអុល្ គៅគ្មោះ
カンボジア語,14,11,ヒヤリハット,គសទើបរនឹងម្ នគ្រោះថា ក្ន់
カンボジア語,14,12,原因,មូល្ គេរ
カンボジア語,14,13,対策,វធិ ន្លករា
カンボジア語,14,14,落下（する）,(ករា )ធា ក្ល់
カンボジア語,14,15,墜落（する）,(ករា )ធា ក្លច់ ោះ
カンボジア語,14,16,確認（する）,(ករា )បញា ក្ជ់
カンボジア語,15,No.,វកា យសពទ្,ក ា បកបរ្ ប
カンボジア語,15,1,作業着,សម្លៀកបំពកា ់ម្វើករា
カンボジア語,15,2,作業服,សម្លៀកបំពកា ់ករា ងរា
カンボジア語,15,3,作業靴,សស្ ែកម ើងករា ងរា
カンボジア語,15,4,手袋,មរោ្ដៃ
カンボジア語,15,5,帽子,្ួក
カンボジア語,15,6,保護帽（ヘルメット）,"្ួកករា ពរា (្ួកបងា រា
មររោះថា ក្ន់)"
カンボジア語,15,7,保護具,ឧបករណ៏បងា រា មររោះថា ក្ន់
カンボジア語,15,8,あごひも,សស្ ែរកវ៉ាត់ចងា រា
カンボジア語,15,9,ボタン,មេវ
カンボジア語,15,10,ポケット,មោម ៉ៅ
カンボジア語,15,11,保護メガネ,សវ្ នតកា រា ពរា
カンボジア語,15,12,マスク,ម៉ៅ ស់
カンボジア語,15,13,耳栓,ឆនុក្ រតមចៀក
カンボジア語,15,14,安全靴,សស្ ែកម ើងសុវតថភិ ពា
カンボジア語,15,15,"墜落制止用器具（安全
帯）","ឧបករណ៏សំរបា ់បញឈ្ ប់
ករា ធលក្ល់ចុោ(ះសស្ ែរកវ៉ាត់
សុវតថភិ ពា )"
カンボジア語,16,No.,វកា យសពទ្,ក ា បកបរ្ ប
カンボジア語,16,16,業務,កិចករា
カンボジア語,16,17,時間厳守,របកនា ់មពលមវលខា ា បា ់សជនួ
カンボジア語,16,18,予定,គមរមង
カンボジア語,16,19,日付,កលា បរមិចេទ
カンボジア語,16,20,準備（する）,(ករា )មរតៀ្
カンボジア語,16,21,会議,ករា រប ុំ
カンボジア語,16,22,朝礼,ករា រប ុំមពលរពឹក
カンボジア語,16,23,報告書,មសចកតរី យា ករា ណ៏
カンボジア語,16,24,マニュアル,មសៀវមៅសណ្ នំ
カンボジア語,16,25,作業手順書,ឯកោរនីតិវ្ិ ីករា ងរា
カンボジア語,16,26,調子,ចលនកនុងសលនួ
カンボジア語,17,1,立入禁止,ហមា ចូល
カンボジア語,17,2,禁煙,ហមា ជក់បារី
カンボジア語,17,3,火気厳禁,ហមា បងា ត្ក់ភ្លើង
カンボジア語,17,4,駐車禁止,ហមា ចត
カンボジア語,17,5,足もと注意,បប្ យ័តនប ៉ភះជើង
カンボジア語,17,6,開口部注意,បប្ យ័តនផន្ កភបើកចំហ
カンボジア語,17,7,感電注意,បប្ យ័តនឆក់
カンボジア語,17,8,堕落注意,បប្ យ័តនធលក្ល់
カンボジア語,17,9,頭上注意,បប្ យ័តនភលើកាល
カンボジア語,17,10,警報設備,កផល្ លងចុចបប្ កសា អសា លន
カンボジア語,18,11,消火器,បំពង់​ពលលត់​អគគិ្ ័យ
カンボジア語,18,12,AED設置場所,ទីតងំ បំពកា A់ ED
カンボジア語,18,13,保護帽着用,"ពកា ់មួកករា ពរា (មួក
បងា រ្កភបរ្ ៉ថះ នក្ន់)"
カンボジア語,18,14,安全帯使用,ភបប្ ើផស្ ែបក្ វ៉ាត់សុវតថិភពា
カンボジア語,18,15,昇降階段,ជភ្តើរភ ើងចុ៉ះ
カンボジア語,18,16,休憩所,កផល្ លងសបា្ ក
カンボジア語,18,17,最大積載荷重,សមតថភពា នទកុ អតិបរា
カンボジア語,18,18,喫煙所,កផល្ លងជក់បារី
カンボジア語,18,19,整理整頓,ភរៀបចំ សណតប្ត់ធនប្ល់
カンボジア語,18,20,安全通路,នលវូ សុវតថិភពា
カンボジア語,19,1,三連クランプ,ដងȠ៣ ̮ʟȼំ ប់ȡʅ
カンボジア語,19,2,"ベルトコンベア
（ベルコン）",ែខˍបនɻះយនɱ
カンボジア語,19,3,かけや,ញញ̳ រេឈ̶
カンボジア語,19,4,ランマ,ʤ៉សុីនបȯ˖ ប់ដី
カンボジア語,19,5,自在クランプ,ដងȠ ̮ំេសរ̡
カンボジア語,19,6,キャッチクランプ,ដងȠ ̮ំȴប់
カンボジア語,19,7,吊り上げ用クランプ,ដងȠ ̮ំសʰʤប់សɼ ̱ចេ
カンボジア語,19,8,直交クランプ,ដងȠ ̮ំɖក់ʰតង់
カンボジア語,19,9,フック,ទំពក់
カンボジア語,19,10,ストレートシャックル,តួʤ៉សុីនˏʺ នʲងʰតង់
カンボジア語,20,11,滑車,ឧបករណ៏រ͋ក
カンボジア語,20,12,クレーン,ʤ៉សុីនសɼ ̱ច
カンボジア語,20,13,移動式クレーン,ʤ៉សុីនសɼ ̱ចចល័ត
カンボジア語,20,14,介しゃくロープ,ែខˍពួរជំនួយ
カンボジア語,20,15,昇降階段,ȗំជេណɱ ̶រេឡ̶ងចុះ
カンボジア語,20,16,筋かい止めピン,"Ȝɻ ស់ʟȼ ប់ឧបករណ៏
ɖក់ចេʇʵ ះសសរ"
カンボジア語,20,17,脚柱ジョイント,តំណេជ̶ង
カンボジア語,20,18,連結ピン,Ȝʅ ស់តʟȼ ប់
カンボジア語,20,19,ジョイント金具,ែដកតំណ
カンボジア語,20,20,レバーブロック,បʶ ̮កʤនដង
カンボジア語,20,21,電動のこ（丸のこ）,ʤ៉សុីនរɮរ
カンボジア語,21,22,モンキースパナ,ឧបករណ៏េɖះប៊ូឡ̭ ង
カンボジア語,21,23,親綱支柱,ʰបព័នʀែខˍសុវតɶិʟព
カンボジア語,21,24,ブラケット,ែកងʰទ
カンボジア語,21,25,梯子,ជេណɱ ̶រɖក់
カンボジア語,22,1,親綱,ខស្ ែពួរមេ
カンボジア語,22,2,建枠（ビティ）,គំរបឈន្ន់(ប ៊ី្ី)
カンボジア語,22,3,メッシュシート,កក្ ណតា ់សំណញា ់
カンボジア語,22,4,防音パネル,ផា ្ងំ ប់សមេលង
カンボジア語,22,5,朝顔材,ផា ្ងំ មកៅ្ សកម្ ប្ខ់ករា ពរា
カンボジア語,22,6,架空線,ខស្ ែមលើ
カンボジア語,22,7,幅木（仮設足場）,"កតរា បងំ មជើង(កខន្ លង
ដក្ឋ ់មជើងបមណតះា ោសនន)"
カンボジア語,22,8,単管,បំពង់ឯក
カンボジア語,22,9,脚立,ជមណតើរមកងា
カンボジア語,23,10,作業半径,កកំា ប្ តិបតិករា ងរា
カンボジア語,23,11,仮ボルト,បូ ុ ងបមណតះា ោសនន
カンボジア語,23,12,手直し,ខក្ ម ើងវញិ
カンボジア語,23,13,面一,មោយនផាទងំ ពីរមសមើរន
カンボジア語,23,14,点検事項,កប្ ករា កត្ ួតពិនិតយ
カンボジア語,23,15,積載荷重,េងន់ចំណុ ះដក្ឋ ់
カンボジア語,23,16,すき間,ចមនលះ្ទ
カンボジア語,23,17,通りを見る,ពិនិតយផលវូ ថនល្ ់
カンボジア語,23,18,組立,តមេលើង
カンボジア語,23,19,地組,ករា ផ្ គំេូលដា ន្ឋ
カンボジア語,24,20,天端,ខផ្ នកខង្ទមលើននសំណង់
カンボジア語,24,21,玉掛け,ចំណងTamagake
カンボジア語,24,22,合図,សញា ្ញ
カンボジア語,24,23,定格荷重,េងន់តេខនត្ទ
カンボジア語,24,24,たち,បញឈ្ រ
カンボジア語,24,25,職長,មេករា
カンボジア語,25,1,安全カバー,គមរ្ បសុវតថិ្ភពា
カンボジア語,25,2,安全帯,ផខ្ ែ្ មក្ វ៉ាតា ់្សុវតថិ្ភពា
カンボジア語,25,3,インサート,បញចល្ូ
カンボジア語,25,4,スペーサ,ឧបករណ៏រកាចស្ែោះ
カンボジア語,25,5,鉄筋,សរសសផ ្ ក
カンボジア語,25,6,電工ドラム（ドラム）,ផខ្ ែ្ ស្ែើងរំផវ្ ង( ូ រ៉ារ រ ុ )
カンボジア語,25,7,電動丸のこ（電のこ）,រណមា ៉ា សុ៊ីន(ស ង ណូ កូ )
カンボジア語,25,8,パッキン,ថា ្នបំ ិទ ិត្
カンボジア語,25,9,小バール,ផ ្ ករស់តូ្ច
カンボジア語,25,10,大バール,ផ ្ ករស់ធំ
カンボジア語,26,11,化粧合板,កា បា នទោះតុ្បផត្ ្ង
カンボジア語,26,12,普通合板,កា បា នាោះធរមតា
カンボジア語,26,13,スタイロフォーム,បនទោះសនា
カンボジア語,26,14,面木,ស ើបសងាើត្សលទរុខស្ ៅម ្ ងុ
カンボジア語,26,15,バイブレーター,ម៉ា សុ៊ីនរំញ៉ារ័
カンボジア語,26,16,剥離剤,ថា ្នសំ ំណក
カンボジア語,26,17,けこみ板,កា បា ញឈ្ រ
カンボジア語,26,18,目地棒,ំបូងោក់កចា ់ម ្ ងុ
カンボジア語,26,19,コンクリート,សបតុ្ង
カンボジア語,26,20,コンベックス,ឧបករណ៏វសា ់ ផវ្ ង
カンボジア語,27,21,作業用手袋,សមន្ រស ករា ងរ្ក
カンボジア語,27,22,差金,ផ ្ កបញចល្ូ
カンボジア語,27,23,水平器,ផរ្ ៉ាមត្ ្សទង់
カンボジア語,27,24,墨さし,បិចសធវើព៊ីឬសែ៊ី
カンボジア語,27,25,墨つぼ,ប្ទត់ ផ្ ខ្ ែ្
カンボジア語,28,1,"丸セパレーター
（丸セパ）","ឧបករណ៏បំ បបករបូ រងា មូល
(ម៉ា រ ៉ុសេប៉ា )"
カンボジア語,28,2,天端釘,"បែកសោលបនែកខងា សលើនៃ
េំណង់"
カンボジア語,28,3,ケレン,ករា េំសលៀង
カンボジア語,28,4,型枠支保工,េ ៉ុមេរមប់ចកា ់សបត៉ុង
カンボジア語,28,5,"基礎型枠
（メタルフォーム）",េ ៉ុមរ្រោ(ះសមតលា ហវម្ )
カンボジア語,28,6,釘仕舞い,េំរលួ បែកសោល
カンボジア語,28,7,スラブ天端,រកឡបា នែកខងា សលើនៃេំណង់
カンボジア語,28,8,高さ（タッパ）,កំពេ់
カンボジア語,28,9,建込み,សលើកយួរសហើ្យោក់
カンボジア語,29,10,通り,នលវូ លំ
カンボジア語,29,11,蹴上げ,កំពេ់ជំហៃា កជំា សណាើរ
カンボジア語,29,12,蹴込み,បនែកខងា កនគងសៅកំជា សណាើរ
カンボジア語,29,13,工具の手入れ,សរៀបេំោតឧបករណ៏
カンボジア語,29,14,下げ振り,ឧបករណ៏វេា ់បញឈ្ ររតង់
カンボジア語,29,15,地墨,សែមា េញា ក្ជំណត់រីតងំា
カンボジア語,29,16,捨てコンクリート,"ចកា ់សបត៉ុងសេាើង(សបត៉ុង
សចលា )"
カンボジア語,29,17,はね出し,ករា សចញកា ពា បី សគោ ល
カンボジア語,29,18,はらみ,ភព្ជសប៉ា ងច៉ុោះ
カンボジア語,30,19,前面,ននៃខងា ម៉ុខ
カンボジア語,30,20,養生,រ៉ុព័រធ
カンボジア語,30,21,レベル,កំពេ់
カンボジア語,30,22,割付,បបងបចក
カンボジア語,30,23,埋め込み金物,ឧបករណ៏ បែកបងោប់
カンボジア語,30,24,解体する（バラス）,ករា បំ បបក
カンボジア語,30,25,かぶり寸法,ករមេ់រ្ប
カンボジア語,31,1,異形棒鋼,"ឧបករណ៏ពងរ្ ឹរបបតុរ
របូ ររា ពិបេេ"
カンボジア語,31,2,結束線,ដសែរតឹ ចំណរ
カンボジア語,31,3,結束工具,ឧបករណ៏រតឹ ចរ
カンボジア語,31,4,鉄筋切断機,ម េុ៊ីនកតា ់េរសេដែក
カンボジア語,31,5,鉄筋曲げ加工機,ម េុ៊ីនពត់េរសេដែក
カンボジア語,31,6,フック,េំពក់
カンボジア語,31,7,保護帽（ヘルメット）,មួ្កករា ពរា
カンボジア語,31,8,アンカー,ដែកយុថា ា
カンボジア語,31,9,加工場,កដនលរដកសនែ
カンボジア語,31,10,スペーサ―,ឧបករណ៏រកាចប្លះ
カンボジア語,32,11,ドーナツ,"ឧបករណ៏រកាចប្លះររា
ជរា រវរ់(ែូណតា ់)"
カンボジア語,32,12,加工配筋図,បលរ់ោក់េសេដែកដកសនែ
カンボジア語,32,13,配筋詳細図,បលរ់លំអិតោក់េរសេដែក
カンボジア語,32,14,開口補強筋,"េរសេដែកពងរ្ ឹរដនែក
បបើកចំ រ"
カンボジア語,32,15,幅止め筋,េរសេដែកពងរ្ ឹរ
カンボジア語,32,16,差筋,េរសេដែកចប្លះេំណរ់
カンボジア語,32,17,柱主筋,េរសេដែកេេរបម្
カンボジア語,32,18,柱配筋,ោក់េរសេដែកកនគរេេរ
カンボジア語,32,19,スラブ筋,េរសេងក្ ឡា
カンボジア語,32,20,ベース筋,េរសេងគ្ ឹះ
カンボジア語,33,21,帯筋（フープ）,"េរសេដែកេប់េល់ករា
ដបកបបតុរេេរ( វឺប ព)ុ"
カンボジア語,33,22,下端筋,េរសេខរា បងក្ មា ្ខរា ចុរ
カンボジア語,33,23,上端筋,េរសេខរា ចុរខរា បលើ
カンボジア語,33,24,主筋,េរសេបម្
カンボジア語,33,25,あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ
カンボジア語,34,1,はかま筋,សរសសដែកលកខណ:កន្រ តក
カンボジア語,34,2,縦筋,សរសសដែកបញឈ្ រ
カンボジア語,34,3,下筋,សរសសដែកខងា ឡនក្ មា
カンボジア語,34,4,横筋,សរសសដែកឡផតក
カンボジア語,34,5,腹筋,សរសសដែកដកា ់ទទឹង
カンボジア語,34,6,配力筋,សរសសដែកដកា ់ឈរនត្ ង់
カンボジア語,34,7,上筋,សរសសដែកខងា ឡលើ
カンボジア語,34,8,スパイラル筋,សរសសដែកលកខណ:រងវង់
カンボジア語,34,9,鉄筋径,វជិ ាមនា ត្ សរសសដែក
カンボジア語,34,10,かぶり厚さ,កមលសា ់នគ្ ប
カンボジア語,35,11,角度,ម
カンボジア語,35,12,シングル,ឯក
カンボジア語,35,13,ダブル,ឡទវ
カンボジア語,35,14,千鳥結束,ចុំណងចឡ្លោគះ ា ្ន
カンボジア語,35,15,切断寸法,ទុំហុំ ដផាកកតា ់
カンボジア語,35,16,加工寸法,ទុំហុំ ដកសនា
カンボジア語,35,17,重ね継手,តុំណជ្ា ់គា ្ន
カンボジア語,35,18,圧接継手,តុំណគប្ន
カンボジア語,35,19,開口部,ដផាកឡបើកចុំហរ
カンボジア語,35,20,溶接金網,សុំណញា ់ ដែកផា
カンボジア語,36,21,搬出,ករា ែឹកឡចញ
カンボジア語,36,22,搬入,ករា ែឹកចូល
カンボジア語,36,23,基礎,នគ្ ឹោះ
カンボジア語,36,24,機械式継手,តុំណឡដយា ម៉ា សា ុី្
カンボジア語,36,25,配筋検査,"ករា នត្ ួតពិ្ិតយករា ដកា ់
សរសសដែក"
カンボジア語,37,1,トラクタ,តា្រ ក់ទរ័
カンボジア語,37,2,ブルドーザ,គតេ្រ ឿងចតក្រ រុញែី
カンボジア語,37,3,トラクタショベル,តា្រ ក់ទ័រឈូសែី
カンボジア語,37,4,ホイルローダ,រ ឡូ ូ កិនែី
カンボジア語,37,5,ダンプトラック,តា្រ ក់ទ័រែឹកែី
カンボジア語,37,6,油圧ショベル,"គតេ្រ ឿងចតក្រ កយា ែីអុីតែ្រ ូ
លិក"
カンボジア語,37,7,バックホウ,តា្រ ក់ទរក័ យា ែី(គអសសា )្ក
カンボジア語,37,8,ローディングショベル,គតេ្រ ឿងចតក្រ ចូកែី
カンボジア語,37,9,ローラ,រ ឡូ ូ កិន
カンボジア語,38,10,バケット,ដប៉ាលចូក
カンボジア語,38,11,ブーム,ែងសនទចូ
カンボジア語,38,12,アーム,ដែគលើក
