言語,Excel行,番号,単語,翻訳
英語,162,16,作業場,
英語,163,17,作業台,
英語,164,18,工事現場,
英語,165,19,職長,
英語,166,20,作業責任者,
英語,170,1,禁止,
英語,171,2,表示板,
英語,172,3,禁止事項,
英語,173,4,避難訓練,
英語,174,5,感電（する）,
英語,175,6,防止（する）,
英語,176,7,予防（する）,
英語,177,8,転倒（する）,
英語,178,9,挟まる,
英語,179,10,足元,
英語,180,11,不安定（な）,
英語,181,12,後片付け,
英語,182,13,救急箱,
英語,183,14,絆創膏,
英語,184,15,体調,
英語,185,16,血,
英語,186,17,熱中症,
英語,187,18,吐き気,
英語,188,19,嘔吐（する）,
英語,189,20,足がつる,
英語,190,21,気分が悪い,
英語,191,22,寝不足,
英語,192,23,安全ネット,
英語,193,24,安全点検,
英語,197,1,KY活動（危険予知活動）,KY Activities (Hazard prediction activities)
英語,198,2,危険,Hazard
英語,199,3,ぶつかる,Bump into
英語,200,4,当たる,Hit
英語,201,5,下敷きになる,Become trapped under
英語,202,6,打つ,Strike
英語,203,7,バランスを崩す,Lost one's balance
英語,204,8,倒れる,Collapse
英語,205,9,転落（する）,Falling off ( Fall off)
英語,206,10,指差呼称,Pointing and calling
英語,207,11,ヒヤリハット,"""Hiyari-Hatto"" (Near-miss incident)"
英語,208,12,原因,Cause
英語,209,13,対策,Countermeasure
英語,210,14,落下（する）,Falling (Fall)
英語,211,15,墜落（する）,Falling down (Fall down)
英語,212,16,確認（する）,Check (Check)
英語,216,1,作業着,Work clothes
英語,218,2,作業服,Work uniform
英語,219,3,作業靴,Work shoes
英語,220,4,手袋,Gloves
英語,223,5,帽子,Cap
英語,224,6,保護帽（ヘルメット）,Safety helmet (Helmet)
英語,226,7,保護具,Protective equipment
英語,228,8,あごひも,Chin strap
英語,229,9,ボタン,Button
英語,231,10,ポケット,Pocket
英語,233,11,保護メガネ,Safety glasses
英語,235,12,マスク,Mask
英語,236,13,耳栓,Earplugs
英語,237,14,安全靴,Safety shoes
英語,238,15,墜落制止用器具（安全帯）,Fall protection equipment (Safety belt)
英語,242,16,業務,Work
英語,243,17,時間厳守,Punctuality
英語,244,18,予定,Schedule
英語,245,19,日付,Date
英語,246,20,準備（する）,Preparation (Prepare)
英語,247,21,会議,Meeting
英語,248,22,朝礼,Morning meeting
英語,249,23,報告書,Report
英語,250,24,マニュアル,Manual
英語,251,25,作業手順書,Operating procedures
英語,252,26,調子,Condition
英語,254,1,立入禁止,DO NOT ENTER
英語,255,2,禁煙,NO SMOKING
英語,256,3,火気厳禁,NO OPEN FLAMES
英語,257,4,駐車禁止,NO PARKING
英語,258,5,足もと注意,WATCH YOUR STEP
英語,259,6,開口部注意,DANGER OPEN HOLE
英語,260,7,感電注意,"DANGER
ELECTRIC SHOCK RISK"
英語,261,8,堕落注意,DANGER FALL HAZARD
英語,262,9,頭上注意,WATCH YOUR HEAD
英語,263,10,警報設備,ALARM SYSTEM
英語,265,11,消火器,FIRE EXTINGUISHER
英語,266,12,AED設置場所,AED INSIDE
英語,267,13,保護帽着用,WEAR SAFETY HELMET
英語,268,14,安全帯使用,WEAR SAFETY HARNESS
英語,269,15,昇降階段,STAIRWAY
英語,270,16,休憩所,BREAK AREA
英語,271,17,最大積載荷重,MAXIMUM LOAD CAPACITY
英語,272,18,喫煙所,SMOKING AREA
英語,273,19,整理整頓,KEEP IN ORDER
英語,274,20,安全通路,SAFETY PASSAGE
英語,276,1,,
英語,277,2,,
英語,278,3,,
英語,279,4,,
英語,280,5,,
英語,281,6,,
英語,282,7,,
英語,283,8,,
英語,284,9,,
英語,285,10,,
英語,287,11,,
英語,288,12,,
英語,289,13,,
英語,290,14,,
英語,291,15,,
英語,292,16,,
英語,293,17,,
英語,294,18,,
英語,295,19,,
英語,296,20,,
英語,297,21,,
英語,299,22,,
英語,300,23,,
英語,301,24,,
英語,302,25,,
英語,304,1,親綱,Main rope
英語,305,2,建枠（ビティ）,Standard scaffold frame (Beatty frame)
英語,306,3,メッシュシート,Mesh sheet
英語,307,4,防音パネル,Soundproof panel
英語,308,5,朝顔材,Protective shelf
英語,309,6,架空線,Overhead power line
英語,310,7,幅木（仮設足場）,Baseboard (Temporary scaffolding)
英語,311,8,単管,Single pipe
英語,312,9,脚立,Stepladder
英語,313,10,作業半径,Operating radius
英語,315,11,仮ボルト,Temporary bolt
英語,316,12,手直し,Rework
英語,317,13,面一,Flushness
英語,318,14,点検事項,Inspection list
英語,319,15,積載荷重,Loading capacity
英語,320,16,すき間,Clearance
英語,321,17,通りを見る,Check correctness
英語,322,18,組立,Assembly
英語,323,19,地組,Basic assembly on the ground
英語,324,20,天端,Top surface
英語,326,21,玉掛け,Slinging
英語,327,22,合図,Signal
英語,328,23,定格荷重,Rated load
英語,329,24,たち,Verticality
英語,330,25,職長,Foreman
英語,332,1,安全カバー,Safety cover
英語,333,2,安全帯,Safety belt
英語,334,3,インサート,Threaded insert
英語,335,4,スペーサ,Spacer
英語,336,5,鉄筋,Rebar
英語,337,6,電工ドラム（ドラム）,Retractable extension cord reel (Drum)
英語,338,7,電動丸のこ（電のこ）,Electric circular saw (Electric saw)
英語,339,8,パッキン,Packing
英語,340,9,小バール,Small crowbar
英語,341,10,大バール,Large crowbar
英語,343,11,化粧合板,Decorative plywood
英語,344,12,普通合板,Regular plywood
英語,345,13,スタイロフォーム,Styrofoam
英語,346,14,面木,Chamfer
英語,347,15,バイブレーター,Vibrator
英語,348,16,剥離剤,Remover
英語,349,17,けこみ板,Riser
英語,350,18,目地棒,Joint bar
英語,351,19,コンクリート,Concrete
英語,352,20,コンベックス,Metal tape measure
英語,354,21,作業用手袋,Work gloves
英語,355,22,差金,L-square ruler
英語,356,23,水平器,Leveler
英語,357,24,墨さし,Bamboo marking pen
英語,358,25,墨つぼ,Inkpot
英語,360,1,"丸セパレーター
（丸セパ）",Round separator (Marusepa)
英語,361,2,天端釘,Leveling pin
英語,362,3,ケレン,Surface preparation
英語,363,4,型枠支保工,Form timbering
英語,364,5,"基礎型枠
（メタルフォーム）",Foundation formwork (Metal form)
英語,365,6,釘仕舞い,Clearing away
英語,366,7,スラブ天端,Slab upper surface
英語,367,8,高さ（タッパ）,Height (Tappa)
英語,368,9,建込み,Installation
英語,369,10,通り,Correcting / improving
英語,371,11,蹴上げ,Riser
英語,372,12,蹴込み,Nosing
英語,373,13,工具の手入れ,Tool maintenance
英語,374,14,下げ振り,Plumb bob
英語,375,15,地墨,Marking
英語,376,16,捨てコンクリート,Leveling concrete
英語,377,17,はね出し,Overhanging
英語,378,18,はらみ,Swell
英語,379,19,前面,Front
英語,381,20,養生,Curing
英語,382,21,レベル,Level
英語,383,22,割付,Allocation
英語,384,23,埋め込み金物,Metal insert
英語,385,24,解体する（バラス）,Demolish (Barasu)
英語,386,25,かぶり寸法,Concrete cover thickness
英語,388,1,異形棒鋼,Deformed steel bar
英語,389,2,結束線,Binding wire
英語,390,3,結束工具,Tying tool
英語,391,4,鉄筋切断機,Rebar cutter
英語,392,5,鉄筋曲げ加工機,Rebar bending machine
英語,393,6,フック,Hook
英語,394,7,保護帽（ヘルメット）,Safety helmet (Helmet)
英語,395,8,アンカー,Anchor
英語,396,9,加工場,Workshop
英語,397,10,スペーサ―,Spacer
英語,399,11,ドーナツ,Donut spacer
英語,400,12,加工配筋図,Bar bending and arrangement schedule
英語,401,13,配筋詳細図,Detailed bar arrangement schedule
英語,402,14,開口補強筋,Opening reinforcement bar
英語,403,15,幅止め筋,Spreader bar
英語,404,16,差筋,Expansion joint
英語,405,17,柱主筋,Longitudinal bar
英語,406,18,柱配筋,Reinforced column
英語,407,19,スラブ筋,Reinforced slab
英語,408,20,ベース筋,Footing bottom rebar
英語,410,21,帯筋（フープ）,Hoop
英語,411,22,下端筋,Lower rebar
英語,412,23,上端筋,Upper rebar
英語,413,24,主筋,Main rebar
英語,414,25,あばら筋,Stirrup
英語,416,1,はかま筋,Footing top bar
英語,417,2,縦筋,Vertical reinforcement
英語,418,3,下筋,Bottom reinforcement
英語,419,4,横筋,Horizontal reinforcement
英語,420,5,腹筋,Web bar
英語,421,6,配力筋,Distribution bar
英語,422,7,上筋,Top reinforcement
英語,423,8,スパイラル筋,Spiral reinforcement
英語,424,9,鉄筋径,Rebar diameter
英語,425,10,かぶり厚さ,Cover concrete thickness
英語,427,11,角度,Angle
英語,428,12,シングル,Single reinforcement
英語,429,13,ダブル,Double reinforcement
英語,430,14,千鳥結束,Staggered binding
英語,431,15,切断寸法,Cutting dimensions
英語,432,16,加工寸法,Machining dimensions
英語,433,17,重ね継手,Lap splicing
英語,434,18,圧接継手,Stud joint
英語,435,19,開口部,Opening
英語,436,20,溶接金網,Welded wire mesh
英語,438,21,搬出,Carrying out
英語,439,22,搬入,Carrying into
英語,440,23,基礎,Foundation
英語,441,24,機械式継手,Mechanical coupler
英語,442,25,配筋検査,Bar arrangement inspection
英語,444,1,トラクタ,Tractor
英語,445,2,ブルドーザ,Bulldozer
英語,446,3,トラクタショベル,Tractor shovel
英語,447,4,ホイルローダ,Wheel loader
英語,448,5,ダンプトラック,Dump truck
英語,449,6,油圧ショベル,Hydraulic excavator
英語,450,7,バックホウ,Backhoe
英語,451,8,ローディングショベル,Loading Excavator
英語,452,9,ローラ,Roller
英語,453,10,バケット,Bucket
英語,455,11,ブーム,Boom
英語,456,12,アーム,Arm
英語,457,13,ブレード（排土板）,Blade (Soil removal plate)
英語,458,14,タイヤ,Tire
英語,459,15,クローラ,Crawler
英語,460,16,キー（鍵）,Key
英語,461,17,"作業装置
（アタッチメント）",Work equipment (Attachment)
英語,462,18,エンジン,Engine
英語,463,19,ディーゼルエンジン,Diesel engine
英語,464,20,エンジンオイル,Engine oil
英語,466,21,"オルタネータ
（充電発電機）","Alternator
(Rechargeable generator)"
英語,467,22,バッテリ,Battery
英語,468,23,燃料,Fuel
英語,469,24,軽油,Light oil
英語,470,25,ブレーキ,Brake
英語,472,1,油圧シリンダ,Hydraulic cylinder
英語,473,2,油圧モータ,Hydraulic motor
英語,474,3,油圧ポンプ,Hydraulic pump
英語,475,4,水漏れ,Water leakage
英語,476,5,油漏れ,Oil leak
英語,477,6,冷却水,Cooling water
英語,478,7,ブレーキ液,Brake fluid
英語,479,8,燃料タンク,Fuel tank
英語,480,9,ファンベルト,Fan belt
英語,481,10,空気圧,Air pressure
英語,482,11,クラッチ,Clutch
英語,483,12,急発進,Sudden start
英語,484,13,急ブレーキ,Sudden braking
英語,486,14,アイドリング,Idling
英語,487,15,走行,Running
英語,488,16,旋回,Turning
英語,489,17,安全ロック,Safety lock
英語,490,18,安全支柱,Safety post
英語,491,19,補給（する）,Refueling (Refuel)
英語,492,20,駐車（する）,Parking (Park)
英語,493,21,歩行者,Pedestrian
英語,494,22,車両,Vehicle
英語,495,23,死角,Vehicle blind spot
英語,496,24,斜面,Slope
英語,497,25,転圧（する）,Roller compaction (compact with a roller)
英語,499,1,接触（する）,Contact (Contact)
英語,500,2,作動（する）,Activation (Activate)
英語,501,3,整備（する）,Maintenance (Maintain)
英語,502,4,点検（する）,Inspection (Inspect)
英語,503,5,動かす,Operate
英語,504,6,運転（する）,Operation (Operate)
英語,505,7,測る,Measure
英語,506,8,操作（する）,Operation (Operate)
英語,507,9,停止（する）,Suspension (Suspend)
英語,508,10,切る,Turn off / Cut
英語,509,11,回す,Turn
英語,510,12,押す,Press
英語,511,13,集める,Gather
英語,512,14,触る,Touch
英語,513,15,縛る,Tie
英語,514,16,揃える,Make uniform
英語,515,17,結ぶ,Tie
英語,516,18,しゃがむ,Squat
英語,517,19,調整（する）,Adjustment (Adjust)
英語,518,20,閉じる,Close
英語,520,1,取り出す,Take out
英語,521,2,戻す,Put back
英語,522,3,仕上げる,Finish
英語,523,4,折れる,Break
英語,524,5,欠ける,Chip
英語,525,6,近づく,Get close
英語,526,7,電源を入れる,Turn on the power
英語,527,8,電源を落とす,Turn off the power
英語,528,9,スイッチを切る,Switch off
英語,529,10,固定（する）,Fixing (Fix)
英語,530,11,ゆるめる,Loosen
英語,531,12,伸ばす,Stretch
英語,532,13,外す,Remove
英語,533,14,曲げる,Bend
英語,534,15,出す,Put out
英語,535,16,乾かす,Dry
英語,536,17,数える,Count
英語,537,18,運ぶ,Carry
英語,538,19,積む,Load
英語,539,20,下ろす,Unload
英語,540,21,離れる,Go away
英語,542,1,位置,
英語,543,2,寸法,
英語,544,3,測定（する）,
英語,545,4,計測（する）,
英語,546,5,計測器,
英語,547,6,温度,
英語,548,7,高さ,
英語,549,8,長さ,
英語,550,9,重さ,
英語,551,10,厚さ,
英語,552,11,硬さ,
英語,553,12,深さ,
英語,554,13,表面,
英語,555,14,すきま,
英語,556,15,中心,
英語,558,16,値,
英語,559,17,安定（する）,
英語,560,18,大きさ,
英語,561,19,数,
英語,562,20,誤差,
英語,563,21,中,
英語,564,22,反対,
英語,565,23,周り,
英語,566,24,尺,
英語,567,25,青,
英語,568,26,赤,
英語,569,27,白,
英語,570,28,黄色,
英語,573,1,片づける,
英語,574,2,捨てる,
英語,575,3,掃く,
英語,576,4,持ち上げる,
英語,577,5,束ねる,
英語,578,6,足をくじく,
英語,581,1,一輪車,
英語,582,2,支柱,
英語,583,3,ショベル,
英語,584,4,かけや,
タガログ語,3,1,技能実習,Technical Intern Training
タガログ語,4,2,技能実習生,Technical Intern Trainee
タガログ語,5,3,工場,Pabrika
タガログ語,6,4,製造,Produksiyon
タガログ語,7,5,機械,Makina
タガログ語,8,6,安全,Kaligtasan
タガログ語,9,7,危険（な）,Delikado (Mapanganib)
タガログ語,10,8,危ない,Delikado
タガログ語,11,9,清掃,Simutin / Paglilinis
タガログ語,12,10,非常口,Emerhensyang labasan/Emergency exit
タガログ語,13,11,注意,Babala/Paunawa
タガログ語,14,12,火事,Sunog
タガログ語,15,13,事故,Akisidente
タガログ語,16,14,服装,Kasuotan
タガログ語,17,15,安全装置,Safety equipment/Kagamitan pangkaligtasan
タガログ語,21,1,安全カバー,Safety cover/Takip pang- kaligtasan
タガログ語,22,2,けが,Pinsala
タガログ語,23,3,けがをする,Mapinsala
タガログ語,24,4,電源,Supply ng kuryente
タガログ語,25,5,電源を切る,Putulin ang supply ng kuryente
タガログ語,26,6,非常停止ボタン,Emergency stop button
タガログ語,27,7,非常停止ボタンを押す,Pindutin ang emergency stop button
タガログ語,28,8,ルール,Patakaran
タガログ語,29,9,ルールを守る,Sumunod sa mga patakaran
タガログ語,30,10,止める,I-off
タガログ語,31,11,機械を止める,I-off ang makina
タガログ語,32,12,やって,Gawin mo
タガログ語,33,13,止めて,I-off mo
タガログ語,34,14,取って,Kunin mo
タガログ語,35,15,だめ（な）,Bawal (Ipinagbabawal )
タガログ語,39,1,監理団体,Namamahalang organisasyon
タガログ語,40,2,技術移転,Paglilipat ng kakayahan
タガログ語,41,3,技能実習期間,Panahon ng pagsasanay
タガログ語,42,4,職種,Uri ng trabaho
タガログ語,43,5,在留資格,Status ng paninirahan
タガログ語,44,6,パスポート,Pasaporte
タガログ語,45,7,在留カード,Residence card
タガログ語,46,8,入管,Immigration Bureau
タガログ語,47,9,在留期間,Panahon ng paninirahan
タガログ語,48,10,雇用契約,Kontrata sa trabaho
タガログ語,49,11,給与明細,Detalyadong paglalahad ng suweldo/Payment slip
タガログ語,50,12,給料,Suweldo
タガログ語,51,13,残業手当,Overtime work pay
タガログ語,52,14,労働時間,Oras ng trabaho
タガログ語,56,1,控除（する）,Bawas / Exemption (Babawasan)
タガログ語,57,2,ボーナス,Bonus
タガログ語,58,3,有休,Bakasyon na may bayad
タガログ語,59,4,代休,Compensatory leave
タガログ語,60,5,労働基準法,The Labour Standards Act
タガログ語,61,6,労働条件,Kondisyon sa trabaho
タガログ語,62,7,税金,Buwis
タガログ語,63,8,所得税,Buwis sa kita
タガログ語,64,9,住民税,Buwis sa paninirahan
タガログ語,65,10,厚生年金,Employees’ pension insurance
タガログ語,66,11,雇用保険,Employment insurance
タガログ語,70,12,健康保険,Health insurance
タガログ語,71,13,社会保険,Labour insurance
タガログ語,72,14,労災,Worker’s accident
タガログ語,73,15,労災保険,Worker’s accident compensation insurance
タガログ語,77,1,遅刻（する）,Huli (Mahuhuli)
タガログ語,78,2,早退（する）,Umalis ng maaga (Aalis ng maaga)
タガログ語,79,3,休憩（する）,Pahinga (Magpapahinga)
タガログ語,80,4,残業（する）,Overtime (Magtrabaho na lampas sa takdang oras / Magtrabaho ng overtime)
タガログ語,81,5,定時,Regular na oras / Takdang oras
タガログ語,82,6,規則,Patakaran
タガログ語,83,7,休日,Day-off
タガログ語,84,8,始業時間,Oras ng simula
タガログ語,85,9,終業時間,Oras ng katapusan
タガログ語,86,10,指導員,Tagapagturo
タガログ語,87,11,生活指導員,Tagapagturo ng pamumuhay
タガログ語,88,12,担当者,Person in charge / Taong namamahala
タガログ語,89,13,スイッチ入れるな,Huwag i-on ang switch
タガログ語,90,14,スイッチ切るな,Huwag i-off ang switch
タガログ語,91,15,使用禁止,Bawal gamitin
タガログ語,95,1,5S,5S
タガログ語,96,2,整理,Suriin
タガログ語,97,3,整頓,Sinupin
タガログ語,98,4,清掃,Simutin
タガログ語,99,5,清潔,Siguruhin ang kalinisan
タガログ語,100,6,しつけ,Sariling Kusa
タガログ語,101,7,掃除（する）,Linis (Maglilinis)
タガログ語,105,8,片づける,Iaayos
タガログ語,106,9,捨てる,Itatapon
タガログ語,107,10,汚い,Marumi / Madumi
タガログ語,108,11,汚れる,Marumihan
タガログ語,109,12,分別（する）,Klasipikasyon (Magbubukod)
タガログ語,110,13,燃えないごみ,Basurang hindi sinusunog
タガログ語,111,14,燃えるごみ,Basurang sinusunog
タガログ語,112,15,挟まれる,Maiipit
タガログ語,113,16,巻き込まれる,Makawit
タガログ語,114,17,やけど（する）,Paso (Mapaso)
タガログ語,115,18,落ちる,Mahulog
タガログ語,116,19,すべる,Madulas
タガログ語,120,20,転ぶ,Madapa
タガログ語,121,21,濡れる,Mabasa
タガログ語,122,22,衛生,Kaligtasan / Pangangalaga sa kalusugan
タガログ語,123,23,避難（する）,Paglisan (Lumikas)
タガログ語,124,24,救急車,Ambulansya
タガログ語,125,25,災害,Sakuna
タガログ語,126,26,地震,Lindol
タガログ語,127,27,もぐる,Sisisid / Punta sa ilalim
タガログ語,131,1,火気厳禁,Mahigpit na ipinagbabawal ang
タガログ語,132,2,開放厳禁,Mahigpit na ipinagbabawal ang
タガログ語,133,3,標識,Babala / Tagapagpahiwatig
タガログ語,134,4,気をつける,Mag-iingat
タガログ語,135,5,持ち込む,Dadalhin sa loob
タガログ語,136,6,防ぐ,Iwasan
タガログ語,137,7,火,Apoy
タガログ語,138,8,煙,Usok
タガログ語,139,9,消火,Patayin ang apoy
タガログ語,140,10,消火器,Fire extinguisher
タガログ語,141,11,非常ベル,Emergency bell
タガログ語,142,12,火災報知機,Fire alarm
タガログ語,143,13,逃げる,Tumakbo palayo
タガログ語,144,14,現場,Lugar ng trabaho
タガログ語,145,15,作業,Trabaho
タガログ語,146,16,ミーティング,Miting
タガログ語,147,17,研修（する）,Pagsasanay (Magsasanay)
タガログ語,148,18,実習（する）,Training (Pagtratrain)
タガログ語,152,19,あいさつ,Pagbati
タガログ語,153,20,確認（する）,Check / Kumpirmasyon (I-checheck / Susuriin)
タガログ語,154,21,報告（する）,Report / Ulat(Mag-report / Ipagbigay-alam)
タガログ語,155,22,連絡（する）,Kontak (Makipag-ugnayan)
タガログ語,156,23,相談（する）,Konsulta (Magkonsulta)
タガログ語,157,24,渡す,Iaabot
タガログ語,158,25,申請書,Pormat ng aplikasyon
タガログ語,159,26,寝坊（する）,Nagising ng tanghali (Magigising ng tanghali)
タガログ語,163,1,技能,
タガログ語,164,2,技能検定試験,
タガログ語,165,3,受検（する）,
タガログ語,166,4,資格,
タガログ語,167,5,手当,
タガログ語,168,6,社員,
タガログ語,169,7,部長,
タガログ語,170,8,課長,
タガログ語,171,9,更衣室,
タガログ語,172,10,台車,
タガログ語,173,11,床,
タガログ語,174,12,出口,
タガログ語,175,13,電気,
タガログ語,176,14,警報音,
タガログ語,177,15,コンセント,
タガログ語,178,16,作業場,
タガログ語,179,17,作業台,
タガログ語,180,18,工事現場,
タガログ語,181,19,職長,
タガログ語,182,20,作業責任者,
タガログ語,186,1,禁止,bawal
タガログ語,187,2,表示板,karatula
タガログ語,188,3,禁止事項,bagay na bawal gawin
タガログ語,189,4,避難訓練,evacuation drill
タガログ語,190,5,感電（する）,pagkakuryente / makuryente
タガログ語,191,6,防止（する）,pagpigil / pigilan
タガログ語,192,7,予防（する）,pag-iwas / iwasan
タガログ語,193,8,転倒（する）,pagbagsak / bumagsak
タガログ語,194,9,挟まる,maipit
タガログ語,195,10,足元,paanan
タガログ語,196,11,不安定（な）,hindi matatag
タガログ語,197,12,後片付け,pagliligpit pagkatapos
タガログ語,198,13,救急箱,first-aid kit
タガログ語,199,14,絆創膏,panakip sa sugat
タガログ語,200,15,体調,pisikal na kondisyon
タガログ語,201,16,血,dugo
タガログ語,202,17,熱中症,heatstroke
タガログ語,203,18,吐き気,alibadbad
タガログ語,204,19,嘔吐（する）,pagsusuka / magsusuka
タガログ語,205,20,足がつる,namumulikat ang paa
タガログ語,206,21,気分が悪い,hindi maganda ang pakiramdam
タガログ語,207,22,寝不足,kulang sa tulog
タガログ語,208,23,安全ネット,safety net
タガログ語,209,24,安全点検,inspeksyon para sa kaligtasan
タガログ語,213,1,KY活動（危険予知活動）,Aktibidad ng KY (Aktibidad para Kilalanin ang Panganib)
タガログ語,214,2,危険,panganib
タガログ語,215,3,ぶつかる,mabangga
タガログ語,216,4,当たる,tumama
タガログ語,217,5,下敷きになる,madaganan
タガログ語,218,6,打つ,tamaan
タガログ語,219,7,バランスを崩す,mawala ang balanse
タガログ語,220,8,倒れる,bumagsak
タガログ語,221,9,転落（する）,pagkahulog / mahulog
タガログ語,222,10,指差呼称,pagturo at pagtawag
タガログ語,223,11,ヒヤリハット,muntikang aksidente (Hiyari-hatto)
タガログ語,224,12,原因,sanhi
タガログ語,225,13,対策,hakbang upang labanan
タガログ語,226,14,落下（する）,pagkahulog / mahulog
タガログ語,227,15,墜落（する）,pagbagsak / bumagsak
タガログ語,228,16,確認（する）,pagtiyak / tiyakin
タガログ語,236,1,作業着,uniporme sa trabaho
タガログ語,237,2,作業服,damit na pantrabaho
タガログ語,238,3,作業靴,sapatos na pantrabaho
タガログ語,239,4,手袋,guwantes
タガログ語,241,5,帽子,cap
タガログ語,242,6,保護帽（ヘルメット）,proteksiyong pang-ulo (helmet)
